                          ----	 -----	                ------	 -----	    booleanExpression	  no	         relationalOp


                        d5cc34	     9	                 TK_ID	 ------	                  var	 yes	                 ----


                          ----	 -----	                ------	 -----	    booleanExpression	  no	                  var


                             )	     9	                 TK_CL	 ------	        iterativeStmt	 yes	                 ----


                          read	    10	               TK_READ	 ------	               ioStmt	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	               ioStmt


                             (	    10	                 TK_OP	 ------	               ioStmt	 yes	                 ----


                          c3bd	    10	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


                          ----	 -----	                ------	 -----	               ioStmt	  no	        singleOrRecId


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	        singleOrRecId	  no	               new_24


                             )	    10	                 TK_CL	 ------	               ioStmt	 yes	                 ----


                             ;	    10	                TK_SEM	 ------	               ioStmt	 yes	                 ----


                          ----	 -----	                ------	 -----	        iterativeStmt	  no	                 stmt


                            d3	    11	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


                          ----	 -----	                ------	 -----	       assignmentStmt	  no	        singleOrRecId


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	        singleOrRecId	  no	               new_24


                          ----	 -----	                ------	 -----	                 stmt	  no	       assignmentStmt


                          <---	    11	           TK_ASSIGNOP	 ------	       assignmentStmt	 yes	                 ----


                            d3	    11	                 TK_ID	 ------	                  all	 yes	                 ----


                          ----	 -----	                ------	 -----	               factor	  no	                  all


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                  all	  no	                 temp


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	            termPrime


                          ----	 -----	                ------	 -----	       assignmentStmt	  no	 arithmeticExpression


                             +	    11	               TK_PLUS	 ------	 lowPrecedenceOperators	 yes	                 ----


                          ----	 -----	                ------	 -----	             expPrime	  no	 lowPrecedenceOperators


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	             expPrime


                          c3bd	    11	                 TK_ID	 ------	                  all	 yes	                 ----


                          ----	 -----	                ------	 -----	               factor	  no	                  all


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                  all	  no	                 temp


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	             expPrime	  no	                 term


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	            termPrime


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	             expPrime	  no	             expPrime


                             ;	    11	                TK_SEM	 ------	       assignmentStmt	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                          ----	 -----	                ------	 -----	        iterativeStmt	  no	           otherStmts


                        b5b567	    12	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


