                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                        return	    11	             TK_RETURN	 ------	           otherStmts	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                        return	    11	             TK_RETURN	 ------	           returnStmt	 yes	                 ----


                          ----	 -----	                ------	 -----	                stmts	  no	           returnStmt


                             [	    11	                TK_SQL	 ------	       optionalReturn	 yes	                 ----


                          ----	 -----	                ------	 -----	           returnStmt	  no	       optionalReturn


                           c2b	    11	                 TK_ID	 ------	               idList	 yes	                 ----


                          ----	 -----	                ------	 -----	       optionalReturn	  no	               idList


                             ,	    11	              TK_COMMA	 ------	             more_ids	 yes	                 ----


                          ----	 -----	                ------	 -----	               idList	  no	             more_ids


                           c2c	    11	                 TK_ID	 ------	               idList	 yes	                 ----


                          ----	 -----	                ------	 -----	             more_ids	  no	               idList


                             ]	    11	                TK_SQR	 ------	             more_ids	 yes	                 ----


                          ----	 -----	                ------	 -----	               idList	  no	             more_ids


                             ]	    11	                TK_SQR	 ------	       optionalReturn	 yes	                 ----


                             ;	    11	                TK_SEM	 ------	           returnStmt	 yes	                 ----


                           end	    13	                TK_END	 ------	             function	 yes	                 ----


                          ----	 -----	                ------	 -----	              program	  no	       otherFunctions


                      _swprecs	    19	              TK_FUNID	 ------	             function	 yes	                 ----


                          ----	 -----	                ------	 -----	       otherFunctions	  no	             function


                         input	    21	              TK_INPUT	 ------	            input_par	 yes	                 ----


                          ----	 -----	                ------	 -----	             function	  no	            input_par


                     parameter	    21	          TK_PARAMETER	 ------	            input_par	 yes	                 ----


                          list	    21	               TK_LIST	 ------	            input_par	 yes	                 ----


                             [	    21	                TK_SQL	 ------	            input_par	 yes	                 ----


                        record	    21	             TK_RECORD	 ------	  constructedDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	  constructedDatatype


                         #rrec	    21	           TK_RECORDID	 ------	  constructedDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	       parameter_list	  no	             dataType


                          ----	 -----	                ------	 -----	            input_par	  no	       parameter_list


                           d5b	    21	                 TK_ID	 ------	       parameter_list	 yes	                 ----


                             ,	    21	              TK_COMMA	 ------	       remaining_list	 yes	                 ----


                          ----	 -----	                ------	 -----	       parameter_list	  no	       remaining_list


                        record	    21	             TK_RECORD	 ------	  constructedDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	  constructedDatatype


                         #rrec	    21	           TK_RECORDID	 ------	  constructedDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	       parameter_list	  no	             dataType


                          ----	 -----	                ------	 -----	       remaining_list	  no	       parameter_list


                           d2c	    21	                 TK_ID	 ------	       parameter_list	 yes	                 ----


                             ]	    21	                TK_SQR	 ------	       remaining_list	 yes	                 ----


                          ----	 -----	                ------	 -----	       parameter_list	  no	       remaining_list


                             ]	    21	                TK_SQR	 ------	            input_par	 yes	                 ----


                        output	    23	             TK_OUTPUT	 ------	           output_par	 yes	                 ----


                          ----	 -----	                ------	 -----	             function	  no	           output_par


                     parameter	    23	          TK_PARAMETER	 ------	           output_par	 yes	                 ----


                          list	    23	               TK_LIST	 ------	           output_par	 yes	                 ----


                             [	    23	                TK_SQL	 ------	           output_par	 yes	                 ----


                        record	    23	             TK_RECORD	 ------	  constructedDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	  constructedDatatype


                         #rrec	    23	           TK_RECORDID	 ------	  constructedDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	       parameter_list	  no	             dataType


                          ----	 -----	                ------	 -----	           output_par	  no	       parameter_list


                           d5d	    23	                 TK_ID	 ------	       parameter_list	 yes	                 ----


                             ,	    23	              TK_COMMA	 ------	       remaining_list	 yes	                 ----


                          ----	 -----	                ------	 -----	       parameter_list	  no	       remaining_list


                        record	    23	             TK_RECORD	 ------	  constructedDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	  constructedDatatype


                         #rrec	    23	           TK_RECORDID	 ------	  constructedDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	       parameter_list	  no	             dataType


                          ----	 -----	                ------	 -----	       remaining_list	  no	       parameter_list


                            d2	    23	                 TK_ID	 ------	       parameter_list	 yes	                 ----


                             ]	    23	                TK_SQR	 ------	       remaining_list	 yes	                 ----


                          ----	 -----	                ------	 -----	       parameter_list	  no	       remaining_list


                             ]	    23	                TK_SQR	 ------	           output_par	 yes	                 ----


                             ;	    23	                TK_SEM	 ------	             function	 yes	                 ----


                          type	    25	               TK_TYPE	 ------	      typeDefinitions	 yes	                 ----


                          ----	 -----	                ------	 -----	                stmts	  no	      typeDefinitions


                          ----	 -----	                ------	 -----	             function	  no	                stmts


                          type	    25	               TK_TYPE	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         declarations	  no	          declaration


                           int	    25	                TK_INT	 ------	    primitiveDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	    primitiveDatatype


                          ----	 -----	                ------	 -----	          declaration	  no	             dataType


                             :	    25	              TK_COLON	 ------	          declaration	 yes	                 ----


                          d3c2	    25	                 TK_ID	 ------	          declaration	 yes	                 ----


                             ;	    25	                TK_SEM	 ------	        global_or_not	 yes	                 ----


                          ----	 -----	                ------	 -----	          declaration	  no	        global_or_not


                             ;	    25	                TK_SEM	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	                stmts	  no	         declarations


                          type	    27	               TK_TYPE	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         declarations	  no	          declaration


                           int	    27	                TK_INT	 ------	    primitiveDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	    primitiveDatatype


                          ----	 -----	                ------	 -----	          declaration	  no	             dataType


                             :	    27	              TK_COLON	 ------	          declaration	 yes	                 ----


                          d3c3	    27	                 TK_ID	 ------	          declaration	 yes	                 ----


                             ;	    27	                TK_SEM	 ------	        global_or_not	 yes	                 ----


                          ----	 -----	                ------	 -----	          declaration	  no	        global_or_not


                             ;	    27	                TK_SEM	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         declarations	  no	         declarations


                          type	    29	               TK_TYPE	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         declarations	  no	          declaration


                           int	    29	                TK_INT	 ------	    primitiveDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	    primitiveDatatype


                          ----	 -----	                ------	 -----	          declaration	  no	             dataType


                             :	    29	              TK_COLON	 ------	          declaration	 yes	                 ----


                          d3c4	    29	                 TK_ID	 ------	          declaration	 yes	                 ----


                             ;	    29	                TK_SEM	 ------	        global_or_not	 yes	                 ----


                          ----	 -----	                ------	 -----	          declaration	  no	        global_or_not


                             ;	    29	                TK_SEM	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         declarations	  no	         declarations


                          type	    31	               TK_TYPE	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         declarations	  no	          declaration


                           int	    31	                TK_INT	 ------	    primitiveDatatype	 yes	                 ----


                          ----	 -----	                ------	 -----	             dataType	  no	    primitiveDatatype


                          ----	 -----	                ------	 -----	          declaration	  no	             dataType


                             :	    31	              TK_COLON	 ------	          declaration	 yes	                 ----


                          d3c5	    31	                 TK_ID	 ------	          declaration	 yes	                 ----


                             ;	    31	                TK_SEM	 ------	        global_or_not	 yes	                 ----


                          ----	 -----	                ------	 -----	          declaration	  no	        global_or_not


                             ;	    31	                TK_SEM	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         declarations	  no	         declarations


                          d3c2	    33	                 TK_ID	 ------	         declarations	 yes	                 ----


                          ----	 -----	                ------	 -----	         declarations	  no	         declarations


                          d3c2	    33	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


                          ----	 -----	                ------	 -----	       assignmentStmt	  no	        singleOrRecId


                          <---	    33	           TK_ASSIGNOP	 ------	               new_24	 yes	                 ----


                          ----	 -----	                ------	 -----	        singleOrRecId	  no	               new_24


                          ----	 -----	                ------	 -----	                 stmt	  no	       assignmentStmt


                          <---	    33	           TK_ASSIGNOP	 ------	       assignmentStmt	 yes	                 ----


                           d5b	    33	                 TK_ID	 ------	                  all	 yes	                 ----


                          ----	 -----	                ------	 -----	               factor	  no	                  all


                             .	    33	                TK_DOT	 ------	                 temp	 yes	                 ----


                          ----	 -----	                ------	 -----	                all_t	  no	                 temp


                           len	    33	            TK_FIELDID	 ------	                 temp	 yes	                 ----


                          ----	 -----	                ------	 -----	                  all	  no	                all_t


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


                             ;	    33	                TK_SEM	 ------	            termPrime	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	            termPrime


                          ----	 -----	                ------	 -----	       assignmentStmt	  no	 arithmeticExpression


                             ;	    33	                TK_SEM	 ------	             expPrime	 yes	                 ----


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	             expPrime


                             ;	    33	                TK_SEM	 ------	       assignmentStmt	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                          ----	 -----	                ------	 -----	                stmts	  no	           otherStmts


