                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


                          ----	 -----	                ------	 -----	                 stmt	  no	 arithmeticExpression


                          ----	 -----	                ------	 -----	         mainFunction	  no	           otherStmts


                        c4bd56	    21	                 TK_ID	 ------	     outputParameters	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	     outputParameters


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                         _sumN	    21	              TK_FUNID	 ------	                 stmt	 yes	                 ----


                            b3	    21	                 TK_ID	 ------	      inputParameters	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	      inputParameters


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                        c4bd56	    22	                 TK_ID	 ------	                 stmt	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


