rule:37	                             ;	     8	                TK_SEM	 ------	       assignmentStmt	 yes	                 ----


rule:30	                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


rule:30	                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


rule:45	                         while	     9	              TK_WHILE	 ------	        iterativeStmt	 yes	                 ----


rule:33	                          ----	 -----	                ------	 -----	                 stmt	  no	        iterativeStmt


rule:45	                             (	     9	                 TK_OP	 ------	        iterativeStmt	 yes	                 ----


rule:74	                        b5b567	     9	                 TK_ID	 ------	                  var	 yes	                 ----


rule:72	                          ----	 -----	                ------	 -----	    booleanExpression	  no	                  var


rule:45	                          ----	 -----	                ------	 -----	        iterativeStmt	  no	    booleanExpression


rule:80	                            <=	     9	                 TK_LE	 ------	         relationalOp	 yes	                 ----


rule:72	                          ----	 -----	                ------	 -----	    booleanExpression	  no	         relationalOp


rule:74	                        d5cc34	     9	                 TK_ID	 ------	                  var	 yes	                 ----


rule:72	                          ----	 -----	                ------	 -----	    booleanExpression	  no	                  var


rule:45	                             )	     9	                 TK_CL	 ------	        iterativeStmt	 yes	                 ----


rule:49	                          read	    10	               TK_READ	 ------	               ioStmt	 yes	                 ----


rule:35	                          ----	 -----	                ------	 -----	                 stmt	  no	               ioStmt


rule:49	                             (	    10	                 TK_OP	 ------	               ioStmt	 yes	                 ----


rule:38	                          c3bd	    10	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


rule:49	                          ----	 -----	                ------	 -----	               ioStmt	  no	        singleOrRecId


rule:39	                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


rule:38	                          ----	 -----	                ------	 -----	        singleOrRecId	  no	               new_24


rule:49	                             )	    10	                 TK_CL	 ------	               ioStmt	 yes	                 ----


rule:49	                             ;	    10	                TK_SEM	 ------	               ioStmt	 yes	                 ----


rule:45	                          ----	 -----	                ------	 -----	        iterativeStmt	  no	                 stmt


rule:38	                            d3	    11	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


rule:37	                          ----	 -----	                ------	 -----	       assignmentStmt	  no	        singleOrRecId


rule:39	                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


rule:38	                          ----	 -----	                ------	 -----	        singleOrRecId	  no	               new_24


rule:32	                          ----	 -----	                ------	 -----	                 stmt	  no	       assignmentStmt


rule:37	                          <---	    11	           TK_ASSIGNOP	 ------	       assignmentStmt	 yes	                 ----


rule:68	                            d3	    11	                 TK_ID	 ------	                  all	 yes	                 ----


rule:61	                          ----	 -----	                ------	 -----	               factor	  no	                  all


rule:69	                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


rule:68	                          ----	 -----	                ------	 -----	                  all	  no	                 temp


rule:57	                          ----	 -----	                ------	 -----	                 term	  no	               factor


rule:54	                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


rule:59	                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


rule:57	                          ----	 -----	                ------	 -----	                 term	  no	            termPrime


rule:37	                          ----	 -----	                ------	 -----	       assignmentStmt	  no	 arithmeticExpression


rule:64	                             +	    11	               TK_PLUS	 ------	 lowPrecedenceOperators	 yes	                 ----


rule:55	                          ----	 -----	                ------	 -----	             expPrime	  no	 lowPrecedenceOperators


rule:54	                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	             expPrime


rule:68	                          c3bd	    11	                 TK_ID	 ------	                  all	 yes	                 ----


rule:61	                          ----	 -----	                ------	 -----	               factor	  no	                  all


rule:69	                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


rule:68	                          ----	 -----	                ------	 -----	                  all	  no	                 temp


